# ESTAR: Stopping Powers and Range Tables for Electrons
# 
# AIR, DRY (NEAR SEA LEVEL)                                              
#
# Kinetic  	Collision	Radiative	Total    	D. Effect	
# Energy   	Stp. Pow.	Stp. Pow.	Stp. Pow.	Parameter	
# MeV      	MeV cm2/g	MeV cm2/g	MeV cm2/g	         	
#
1.000E+02	2.417E+00	2.405E+00	4.822E+00	1.120E+00
1.072E+02	2.426E+00	2.591E+00	5.017E+00	1.211E+00
1.162E+02	2.436E+00	2.825E+00	5.261E+00	1.319E+00
1.260E+02	2.446E+00	3.080E+00	5.526E+00	1.429E+00
1.367E+02	2.456E+00	3.357E+00	5.813E+00	1.540E+00
1.482E+02	2.466E+00	3.658E+00	6.124E+00	1.653E+00
1.500E+02	2.468E+00	3.705E+00	6.173E+00	1.670E+00
1.607E+02	2.476E+00	3.985E+00	6.461E+00	1.766E+00
1.743E+02	2.486E+00	4.341E+00	6.827E+00	1.881E+00
1.890E+02	2.496E+00	4.727E+00	7.223E+00	1.996E+00
2.000E+02	2.502E+00	5.018E+00	7.520E+00	2.078E+00
2.049E+02	2.505E+00	5.147E+00	7.653E+00	2.113E+00
2.222E+02	2.515E+00	5.604E+00	8.119E+00	2.230E+00
2.409E+02	2.525E+00	6.100E+00	8.624E+00	2.349E+00
2.500E+02	2.529E+00	6.340E+00	8.868E+00	2.403E+00
2.613E+02	2.534E+00	6.638E+00	9.172E+00	2.468E+00
2.833E+02	2.543E+00	7.223E+00	9.767E+00	2.589E+00
3.000E+02	2.550E+00	7.667E+00	1.022E+01	2.674E+00
3.072E+02	2.553E+00	7.859E+00	1.041E+01	2.710E+00
3.331E+02	2.562E+00	8.549E+00	1.111E+01	2.833E+00
3.500E+02	2.567E+00	8.998E+00	1.157E+01	2.909E+00
3.612E+02	2.571E+00	9.298E+00	1.187E+01	2.957E+00
3.917E+02	2.580E+00	1.011E+01	1.269E+01	3.083E+00
4.000E+02	2.582E+00	1.033E+01	1.292E+01	3.116E+00
4.248E+02	2.589E+00	1.099E+01	1.358E+01	3.210E+00
